location,ArrivalDate,Date,Week_Number,Now,CovidWeek
Lesotho,5/13/2020,383,20,79,59
Tajikistan,4/30/2020,396,18,79,61
Comoros,4/23/2020,403,17,79,62
Sao Tome and Principe,4/12/2020,414,16,79,63
Yemen,4/10/2020,416,15,79,64
South Sudan,4/5/2020,421,15,79,64
Western Sahara,4/4/2020,422,14,79,65
Falkland Islands,4/3/2020,423,14,79,65
Malawi,4/2/2020,424,14,79,65
Bonaire Sint Eustatius and Saba,3/31/2020,426,14,79,65
Burundi,3/31/2020,426,14,79,65
Sierra Leone,3/31/2020,426,14,79,65
Botswana,3/30/2020,427,14,79,65
Northern Mariana Islands,3/28/2020,429,13,79,66
Anguilla,3/26/2020,431,13,79,66
British Virgin Islands,3/25/2020,432,13,79,66
Guinea-Bissau,3/25/2020,432,13,79,66
Mali,3/25/2020,432,13,79,66
Saint Kitts and Nevis,3/25/2020,432,13,79,66
Laos,3/24/2020,433,13,79,66
Libya,3/24/2020,433,13,79,66
Belize,3/23/2020,434,13,79,66
Myanmar,3/23/2020,434,13,79,66
Turks and Caicos Islands,3/23/2020,434,13,79,66
Dominica,3/22/2020,435,13,79,66
Mozambique,3/22/2020,435,13,79,66
Syria,3/22/2020,435,13,79,66
Angola,3/21/2020,436,12,79,67
Eritrea,3/21/2020,436,12,79,67
Timor,3/21/2020,436,12,79,67
Cape Verde,3/20/2020,437,12,79,67
Papua New Guinea,3/20/2020,437,12,79,67
Zimbabwe,3/20/2020,437,12,79,67
Chad,3/19/2020,438,12,79,67
Fiji,3/19/2020,438,12,79,67
Haiti,3/19/2020,438,12,79,67
Isle of Man,3/19/2020,438,12,79,67
Niger,3/19/2020,438,12,79,67
Bermuda,3/18/2020,439,12,79,67
El Salvador,3/18/2020,439,12,79,67
Kyrgyzstan,3/18/2020,439,12,79,67
Montserrat,3/18/2020,439,12,79,67
New Caledonia,3/18/2020,439,12,79,67
Nicaragua,3/18/2020,439,12,79,67
Uganda,3/18/2020,439,12,79,67
Zambia,3/18/2020,439,12,79,67
Barbados,3/17/2020,440,12,79,67
Gambia,3/17/2020,440,12,79,67
Montenegro,3/17/2020,440,12,79,67
Sint Maarten (Dutch part),3/17/2020,440,12,79,67
Benin,3/16/2020,441,12,79,67
Greenland,3/16/2020,441,12,79,67
Grenada,3/16/2020,441,12,79,67
Liberia,3/16/2020,441,12,79,67
Somalia,3/16/2020,441,12,79,67
Tanzania,3/16/2020,441,12,79,67
Bahamas,3/15/2020,442,12,79,67
Guam,3/15/2020,442,12,79,67
Uzbekistan,3/15/2020,442,12,79,67
Central African Republic,3/14/2020,443,11,79,68
Djibouti,3/14/2020,443,11,79,68
Equatorial Guinea,3/14/2020,443,11,79,68
Rwanda,3/14/2020,443,11,79,68
Swaziland,3/14/2020,443,11,79,68
Aruba,3/13/2020,444,11,79,68
Curacao,3/13/2020,444,11,79,68
Ethiopia,3/13/2020,444,11,79,68
Guatemala,3/13/2020,444,11,79,68
Guinea,3/13/2020,444,11,79,68
Kazakhstan,3/13/2020,444,11,79,68
Kenya,3/13/2020,444,11,79,68
Kosovo,3/13/2020,444,11,79,68
Madagascar,3/13/2020,444,11,79,68
Mauritania,3/13/2020,444,11,79,68
Puerto Rico,3/13/2020,444,11,79,68
Saint Lucia,3/13/2020,444,11,79,68
Sudan,3/13/2020,444,11,79,68
Suriname,3/13/2020,444,11,79,68
United States Virgin Islands,3/13/2020,444,11,79,68
Uruguay,3/13/2020,444,11,79,68
Venezuela,3/13/2020,444,11,79,68
Cayman Islands,3/12/2020,445,11,79,68
Gabon,3/12/2020,445,11,79,68
Ghana,3/12/2020,445,11,79,68
Trinidad and Tobago,3/12/2020,445,11,79,68
Cote d'Ivoire,3/11/2020,446,11,79,68
French Polynesia,3/11/2020,446,11,79,68
Guyana,3/11/2020,446,11,79,68
Namibia,3/11/2020,446,11,79,68
Saint Vincent and the Grenadines,3/11/2020,446,11,79,68
Seychelles,3/11/2020,446,11,79,68
Turkey,3/11/2020,446,11,79,68
Antigua and Barbuda,3/10/2020,447,11,79,68
Bolivia,3/10/2020,447,11,79,68
Congo,3/10/2020,447,11,79,68
Democratic Republic of Congo,3/10/2020,447,11,79,68
Honduras,3/10/2020,447,11,79,68
Jamaica,3/10/2020,447,11,79,68
Jersey,3/10/2020,447,11,79,68
Mongolia,3/10/2020,447,11,79,68
Brunei,3/9/2020,448,11,79,68
Burkina Faso,3/9/2020,448,11,79,68
Cyprus,3/9/2020,448,11,79,68
Guernsey,3/9/2020,448,11,79,68
Panama,3/9/2020,448,11,79,68
Albania,3/8/2020,449,11,79,68
Bangladesh,3/8/2020,449,11,79,68
Bulgaria,3/8/2020,449,11,79,68
Maldives,3/7/2020,450,10,79,69
Malta,3/7/2020,450,10,79,69
Moldova,3/7/2020,450,10,79,69
Paraguay,3/7/2020,450,10,79,69
Bhutan,3/6/2020,451,10,79,69
Cameroon,3/6/2020,451,10,79,69
Colombia,3/6/2020,451,10,79,69
Costa Rica,3/6/2020,451,10,79,69
Peru,3/6/2020,451,10,79,69
Serbia,3/6/2020,451,10,79,69
Slovakia,3/6/2020,451,10,79,69
Togo,3/6/2020,451,10,79,69
Bosnia and Herzegovina,3/5/2020,452,10,79,69
Palestine,3/5/2020,452,10,79,69
Vatican,3/5/2020,452,10,79,69
Faeroe Islands,3/4/2020,453,10,79,69
Gibraltar,3/4/2020,453,10,79,69
Hungary,3/4/2020,453,10,79,69
Poland,3/4/2020,453,10,79,69
Slovenia,3/4/2020,453,10,79,69
Argentina,3/3/2020,454,10,79,69
Chile,3/3/2020,454,10,79,69
Liechtenstein,3/3/2020,454,10,79,69
Ukraine,3/3/2020,454,10,79,69
Andorra,3/2/2020,455,10,79,69
Georgia,3/2/2020,455,10,79,69
Indonesia,3/2/2020,455,10,79,69
Jordan,3/2/2020,455,10,79,69
Latvia,3/2/2020,455,10,79,69
Morocco,3/2/2020,455,10,79,69
Portugal,3/2/2020,455,10,79,69
Saudi Arabia,3/2/2020,455,10,79,69
Senegal,3/2/2020,455,10,79,69
Tunisia,3/2/2020,455,10,79,69
Armenia,3/1/2020,456,10,79,69
Czech Republic,3/1/2020,456,10,79,69
Dominican Republic,3/1/2020,456,10,79,69
South Africa,3/1/2020,456,10,79,69
Luxembourg,2/29/2020,457,9,79,70
Ireland,2/29/2020,457,9,79,70
Monaco,2/29/2020,457,9,79,70
Azerbaijan,2/28/2020,458,9,79,70
Belarus,2/28/2020,458,9,79,70
Iceland,2/28/2020,458,9,79,70
Lithuania,2/28/2020,458,9,79,70
Mexico,2/28/2020,458,9,79,70
New Zealand,2/28/2020,458,9,79,70
Denmark,2/27/2020,459,9,79,70
Estonia,2/27/2020,459,9,79,70
Netherlands,2/27/2020,459,9,79,70
Nigeria,2/27/2020,459,9,79,70
Qatar,2/27/2020,459,9,79,70
San Marino,2/27/2020,459,9,79,70
Brazil,2/26/2020,460,9,79,70
Greece,2/26/2020,460,9,79,70
Macedonia,2/26/2020,460,9,79,70
Norway,2/26/2020,460,9,79,70
Pakistan,2/26/2020,460,9,79,70
Romania,2/26/2020,460,9,79,70
Croatia,2/25/2020,461,9,79,70
Switzerland,2/25/2020,461,9,79,70
Afghanistan,2/24/2020,462,9,79,70
Cuba,2/24/2020,462,9,79,70
Oman,2/24/2020,462,9,79,70
Iraq,2/22/2020,464,8,79,71
Bahrain,2/21/2020,465,8,79,71
Israel,2/21/2020,465,8,79,71
Lebanon,2/21/2020,465,8,79,71
Mauritius,2/21/2020,465,8,79,71
Iran,2/19/2020,467,8,79,71
Algeria,2/17/2020,469,8,79,71
Ecuador,2/14/2020,472,7,79,72
Egypt,2/14/2020,472,7,79,72
Austria,2/8/2020,478,6,79,73
Kuwait,2/4/2020,482,6,79,73
Belgium,2/3/2020,483,6,79,73
Italy,1/31/2020,486,5,79,74
Russia,1/31/2020,486,5,79,74
Spain,1/31/2020,486,5,79,74
United Kingdom,1/31/2020,486,5,79,74
India,1/30/2020,487,5,79,74
Philippines,1/30/2020,487,5,79,74
United Arab Emirates,1/29/2020,488,5,79,74
Finland,1/28/2020,489,5,79,74
Cambodia,1/27/2020,490,5,79,74
Germany,1/27/2020,490,5,79,74
Sri Lanka,1/27/2020,490,5,79,74
Australia,1/25/2020,492,4,79,75
Malaysia,1/25/2020,492,4,79,75
France,1/24/2020,493,4,79,75
Sweden,1/24/2020,493,4,79,75
Singapore,1/23/2020,494,4,79,75
Vietnam,1/23/2020,494,4,79,75
Canada,1/22/2020,495,4,79,75
Taiwan,1/21/2020,496,4,79,75
South Korea,1/20/2020,497,4,79,75
Japan,1/16/2020,501,3,79,76
Thailand,1/13/2020,504,3,79,76
United States,1/13/2020,504,3,79,76
Nepal,1/9/2020,508,2,79,77
China,1/1/2020,516,1,79,78
